"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"California",1,330000,335000,336550,339900,340945,345000,339500,339900,329900,324600,315000,299900,299000,294900,299000,299000,299950,299900,299900,299900,299000,298900,289500,284900,280706,285000,289000,295000,299900,309900,318000,320000,323669,325000,327000,324900,329000,349900,365000,384900,399800,405000,415000,409999,415000,410000,399900,399000,395000,399000,410000,425000,429000,434900,435000,429900,425000,420000,419900,399500,404900,415000,425000,435000,449000,450000,449000,450000,454900,455000,450000,449888,449000,457925,469000,479900,489000,495000,494900,489000,489000,489000,480000,474999,475000,484900,499000,5e+05,510000,514000,510000,5e+05,505000,507500,499999,499000,499000,5e+05,520000,529900,539000,544000,539742.5,535000,538995,535000,529900,524000,519500,525000,539000
"Texas",2,169900,169900,169900,170000,174000,174900,169995,169900,173000,172500,172000,169900,168000,168000,169800,169500,169950,170545,170000,169990,168800,168500,167000,166990,165990,169000,169900,170000,174900,175000,174900,174500,172000,171570,173990,174900,174900,179490,182490,185000,189000,189900,189900,189900,189990,193639,189995,191000,192990,198990,201292.5,209900,215000,213400,214900,219900,218990,218900,219990,225000,229900,234900,239900,245000,245000,245000,246990,248990,249000,249900,249990,255900,254995,247900,250000,254982,257950,259000,259000,258000,256900,259900,255000,254900,253997.5,259574,265000,270000,274900,275000,272371,270000,269900,269900,269000,269000,269000,270000,274990,279200,280000,280000,279900,275000,275990,275000,275000,274900,274990,275000,278990
"New York",3,349000,347000,345000,339900,349500,349000,348000,339900,349000,345000,339999,339000,334900,319777,329900,329000,325000,324000,319000,310000,309000,305000,305000,3e+05,3e+05,309000,305000,319000,317000,309900,3e+05,299900,3e+05,309000,299990,304900,309000,319000,320000,319000,315000,299900,299000,295000,295000,299000,3e+05,3e+05,310000,324999,325000,325000,329000,330000,325000,323000,322900,325000,325000,325000,330000,334999,339000,335000,334999,339500,330000,325000,324000,325000,325000,325000,339900,349000,345000,350000,349900,349900,334900,329900,330000,330000,339900,339990,349900,360000,364900,361212.5,359000,350000,349900,339900,349000,349000,349900,350000,360000,389900,395000,395900,397500,395000,384000,375000,380000,389000,395000,399000,399900,410000,420000
"Florida",4,199900,199500,199000,194900,190000,188000,184900,180000,179777,175999,179000,174900,174471,174900,174990,170000,175000,175500,175000,176000,179000,179900,177900,178000,178900,179900,179977,179000,178000,179500,179900,180000,179900,175000,179900,180000,187900,189900,195000,199000,199900,199900,199900,199500,199900,199900,205000,2e+05,203000,209000,210000,214900,212000,209900,218900,219180,219900,219500,224000,224900,225000,229000,227900,229000,230000,232900,234900,239990,244900,246990,249900,250000,250000,251990,257000,259900,259900,259900,259900,259000,260000,264900,265000,267500,273490,275000,275000,279900,280000,282000,282000,280000,284900,280000,284990,285000,287076.5,289000,289895.5,290000,294250,294990,292990,289900,290000,289990,293000,295000,294900,295000,295000
"Illinois",5,214900,214900,215000,214900,213900,210000,2e+05,199900,196733.5,195000,190000,184900,179900,179000,179900,180000,184400,183000,179900,178000,174900,169900,165000,160000,159900,160000,164100,164900,164900,165000,159999,159900,159000,155000,154900,149900,149900,154900,159900,165000,169900,173900,169900,169900,169900,165900,164900,159900,159900,165000,174900,180000,189900,191500,189900,189000,185000,184500,179900,175000,174900,179900,189900,195000,204000,204900,199900,199000,197000,194900,189900,185000,185000,192900,204000,214829,215000,215000,210000,204900,200065,199900,199000,190000,190000,199900,214900,220000,225000,227000,224900,219900,219900,218400,214900,207900,209900,219900,229000,235000,236850,237500,234900,230000,230000,229900,229000,224990,225000,230000,239900
"Pennsylvania",6,189527.5,189900,189900,189900,189900,189900,189900,185000,185000,184700,180000,179900,179500,179000,179900,179900,180000,182900,179900,179900,178000,175000,174900,173900,174000,174500,175900,179000,175000,175000,174500,169900,169000,167300,165000,164900,164900,169000,169900,174900,179900,179900,175690,172000,174500,169900,169900,174900,169900,169900,174900,179900,184000,184000,179900,178850,178900,179900,177900,174900,174500,174900,179900,184900,189000,185000,183900,179900,182900,179500,179000,174900,170000,169900,179900,182500,185000,189900,184900,179900,179990,184900,179900,177999,176000,179900,190000,199000,199000,199000,197500,194900,192900,195000,195000,189900,189900,196900,199900,209900,213500,216900,214000,209900,205000,205000,205000,199999,199900,204725,215000
"Ohio",7,129900,129900,129900,133900,130000,129900,129900,129900,129900,129000,126000,121900,119900,119900,120000,124500,125000,128000,126900,125500,124999,124900,124900,119900,119900,119999,123900,124900,125000,126700,125000,124900,123000,120000,120000,119900,118900,119849.5,120000,124900,128500,129500,128900,126500,125000,125000,124900,122000,120412,124900,129500,130000,134900,137900,136000,134900,134500,132900,129900,129000,129500,129900,134900,139000,139900,139900,139900,139900,139500,135000,134900,130000,131500,133900,135925,142000,145400,147900,148000,144900,144900,142500,139900,139000,139000,139900,147500,150000,157846,159900,159900,159750,155900,156000,150000,149900,149900,150000,159500,164999,169900,170000,169999,169900,169000,165000,164900,159990,163000,165000,173000
"Michigan",8,127900,127500,125900,127350,126000,124900,122000,119900,119900,119900,117400,110000,108000,106900,106000,107900,114900,114900,114900,114900,114000,109900,109500,1e+05,99900,99900,104900,109000,110000,113900,114900,112000,109900,109900,109900,105000,107500,109900,114900,119900,124900,129899,129900,129900,129900,127350,124900,120000,119900,120000,125500,134000,139900,139900,139900,139900,139900,137500,132000,129900,129900,129900,135000,139900,145900,149900,149900,148000,145000,142500,139900,139000,135900,137900,143000,149900,153900,155000,158000,155000,154900,153000,149900,149900,149900,150000,159900,165000,169900,174900,174900,170000,169900,169900,169000,164900,164900,167900,170000,183000,184900,185000,185000,184900,182000,179900,179000,174900,174900,174900,179900
"Georgia",9,179500,179000,179000,179000,177900,174900,172200,170000,169900,169000,165000,159900,158500,155000,155000,153900,154950,155000,154900,151990,150000,149900,149000,145000,144900,147900,149800,149900,149999,150000,153999,154950,154900,157000,159900,159900,160000,165000,169000,172341.5,175000,177990,178844,176000,178500,176288,175000,174850,172900,175000,179900,185000,189000,190000,190000,189900,187095,185000,185827,183500,184500,185900,189000,190000,195000,197126,198000,199500,199665,199000,199000,199000,199300,199000,200505,210000,215031,219000,219000,216000,215900,218395,215000,214900,215000,218900,225000,230000,235000,237900,238525,236900,238999.5,239700,239900,239900,239900,244900,249500,252315,256900,258845,253047,249990,250000,250000,250000,249900,249900,252500,259900
"North Carolina",10,199900,199900,199900,199900,199900,199000,198000,194900,192900,194900,194900,189900,187500,185000,187900,189000,189900,189900,189660,189000,187900,186500,185000,182500,181000,182777,185000,185000,184900,184750,181900,182000,179900,179900,179900,179900,179900,184900,188000,189900,194900,199000,195941,195000,195685,195000,192900,194900,189900,190990,198000,199700,199999,199900,199900,199900,199900,199800,199900,199000,199000,199990,199900,209000,215000,219000,219000,218800,217000,219000,219000,216000,219900,220000,224950,229000,229900,229900,230000,229900,229900,230000,229900,229900,229400,230999,238500,246900,249900,250000,250000,249900,250000,252000,254000,254000,255007,255900,259900,260000,260900,264000,259900,259500,260800,260495,261000,263000,262500,264500,269900
